# Planet: Rp = 4.0 earthRad, M_p = 20.0 earthMass
# Star: Rstar = 0.5 solRad, Mstar = 0.5 solMass, P_rot = 30.0 d 
# Orbit: P = 20.0 d, dur = 1.9238 h, a = 0.114449 AU, b = 0, i = 1.57 omega = 1.57
# 
# time [hr], radial velocity [m/s]
0.00000000,0.00000000
0.48048048,-5.05369473
0.96096096,-0.58500866
1.44144144,-0.84455989
1.92192192,-1.12471923
2.40240240,-1.40368626
2.88288288,-1.68115928
3.36336336,-1.95684171
3.84384384,-2.23044313
4.32432432,-2.50168026
4.80480480,-2.77027788
5.28528529,-3.03596966
5.76576577,-3.29849901
6.24624625,-3.55761978
6.72672673,-3.81309691
7.20720721,-4.06470705
7.68768769,-4.31223904
8.16816817,-4.55549434
8.64864865,-4.79428742
9.12912913,-5.02844598
9.60960961,-5.25781118
10.09009009,-5.48223774
10.57057057,-5.70159402
11.05105105,-5.91576197
11.53153153,-6.12463704
12.01201201,-6.32812806
12.49249249,-6.52615698
12.97297297,-6.71865865
13.45345345,-6.90558048
13.93393393,-7.08688212
14.41441441,-7.26253499
14.89489489,-7.43252194
15.37537538,-7.59683671
15.85585586,-7.75548349
16.33633634,-7.90847640
16.81681682,-8.05583896
17.29729730,-8.19760360
17.77777778,-8.33381105
18.25825826,-8.46450986
18.73873874,-8.58975582
19.21921922,-8.70961146
19.69969970,-8.82414547
20.18018018,-8.93343219
20.66066066,-9.03755115
21.14114114,-9.13658648
21.62162162,-9.23062650
22.10210210,-9.31976322
22.58258258,-9.40409191
23.06306306,-9.48371065
23.54354354,-9.55871992
24.02402402,-9.62922223
24.50450450,-9.69532172
24.98498498,-9.75712385
25.46546547,-9.81473502
25.94594595,-9.86826232
26.42642643,-9.91781320
26.90690691,-9.96349521
27.38738739,-10.00541577
27.86786787,-10.04368191
28.34834835,-10.07840009
28.82882883,-10.10967599
29.30930931,-10.13761436
29.78978979,-10.16231880
30.27027027,-10.18389169
30.75075075,-10.20243401
31.23123123,-10.21804526
31.71171171,-10.23082331
32.19219219,-10.24086438
32.67267267,-10.24826290
33.15315315,-10.25311149
33.63363363,-10.25550085
34.11411411,-10.25551978
34.59459459,-10.25325511
35.07507508,-10.24879164
35.55555556,-10.24221220
36.03603604,-10.23359753
36.51651652,-10.22302637
36.99699700,-10.21057541
37.47747748,-10.19631928
37.95795796,-10.18033060
38.43843844,-10.16267995
38.91891892,-10.14343593
39.39939940,-10.12266514
39.87987988,-10.10043222
40.36036036,-10.07679988
40.84084084,-10.05182893
41.32132132,-10.02557830
41.80180180,-9.99810508
42.28228228,-9.96946454
42.76276276,-9.93971020
43.24324324,-9.90889383
43.72372372,-9.87706549
44.20420420,-9.84427359
44.68468468,-9.81056493
45.16516517,-9.77598471
45.64564565,-9.74057659
46.12612613,-9.70438272
46.60660661,-9.66744380
47.08708709,-9.62979908
47.56756757,-9.59148645
